FID,FID_dhaka_,Ward_ID,PopDensity,Pop,Area,FID_dhaka1,OBJECTID,site_id,site_name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,pop_count
0,0,1,32644.580132800001593,183298,5.614959642740000,41,42,42,uttara_sector_1,23.856290000000001,90.401390000000006,250.000000000000000,41,0.014805996442000,0.092765802619800,3028
1,0,1,32644.580132800001593,183298,5.614959642740000,42,43,43,uttara_sector_7,23.869800000000001,90.400049999999993,250.000000000000000,42,0.014806800381900,0.196671345212000,6420
2,0,1,32644.580132800001593,183298,5.614959642740000,45,46,46,airport,23.853190000000001,90.405980000000000,250.000000000000000,45,0.014805812157900,0.031314626743100,1022
3,2,3,71784.943147600002703,94664,1.318716653510000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,250.000000000000000,37,0.014803114876700,0.081435939912300,5846
4,5,12,138390.602130000013858,116544,0.842138109139000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,250.000000000000000,36,0.014802625834200,0.086840126595200,12018
5,6,6,58389.779890899997554,163770,2.804771662200000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,250.000000000000000,23,0.014803367635500,0.184350739790000,10764
6,6,6,58389.779890899997554,163770,2.804771662200000,29,30,30,mirpur_milk_vita,23.818909999999999,90.361080000000001,250.000000000000000,29,0.014803775385800,0.196658510099000,11483
7,7,7,116705.176107999999658,113750,0.974678277295000,23,24,24,mirpur_6,23.812040000000000,90.362589999999997,250.000000000000000,23,0.014803367635500,0.012308339584500,1436
8,7,7,116705.176107999999658,113750,0.974678277295000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,250.000000000000000,36,0.014802625834200,0.029064418438300,3392
9,7,7,116705.176107999999658,113750,0.974678277295000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,250.000000000000000,37,0.014803114876700,0.062061867940100,7243
10,8,8,26705.429750899998908,111251,4.165856945110000,36,37,37,mirpur_1,23.799530000000001,90.354439999999997,250.000000000000000,36,0.014802625834200,0.080751887074100,2157
11,10,10,42414.774840199999744,87879,2.071895945010000,48,49,49,technical,23.782240000000002,90.351969999999994,250.000000000000000,48,0.014801601176700,0.135696199570000,5756
12,11,11,81226.625680500001181,97033,1.194595973760000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,250.000000000000000,33,0.014801874010700,0.024439344187800,1985
13,11,11,81226.625680500001181,97033,1.194595973760000,48,49,49,technical,23.782240000000002,90.351969999999994,250.000000000000000,48,0.014801601176700,0.060959545372500,4952
14,12,13,51876.690948700001172,157206,3.030378328400000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,250.000000000000000,31,0.014801981577400,0.046206677884700,2397
15,12,13,51876.690948700001172,157206,3.030378328400000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,250.000000000000000,32,0.014802651243500,0.166749829344000,8650
16,12,13,51876.690948700001172,157206,3.030378328400000,33,34,34,mirpur_paikpara,23.786850000000001,90.361760000000004,250.000000000000000,33,0.014801874010700,0.172219671305000,8934
17,13,14,110511.309122000006028,163797,1.482174098760000,32,33,33,mirpur_monipur,23.799959999999999,90.366489999999999,250.000000000000000,32,0.014802651243500,0.029910683692600,3305
18,13,14,110511.309122000006028,163797,1.482174098760000,37,38,38,mirpur_10,23.807780000000001,90.368570000000005,250.000000000000000,37,0.014803114876700,0.053163339525200,5875
19,16,16,30944.155345399998623,142413,4.602258436540000,22,23,23,kafrul,23.790320000000001,90.386579999999995,250.000000000000000,22,0.014802079889400,0.113691867935000,3518
20,16,16,30944.155345399998623,142413,4.602258436540000,31,32,32,shewrapara,23.788660000000000,90.375789999999995,250.000000000000000,31,0.014801981577400,0.150457102276000,4656
21,16,16,30944.155345399998623,142413,4.602258436540000,38,39,39,kochukhetmmarket,23.792059999999999,90.388159999999999,250.000000000000000,38,0.014802182965500,0.028005030831500,867
22,17,17,16373.542272500000763,101829,6.219118520910000,43,44,44,baridhara,23.805040000000002,90.424139999999994,250.000000000000000,43,0.014802952134000,0.000686002443234,11
23,17,17,16373.542272500000763,101829,6.219118520910000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,250.000000000000000,47,0.014803431242700,0.181346233619000,2969
24,18,18,45221.806915799999842,63616,1.406754933930000,43,44,44,baridhara,23.805040000000002,90.424139999999994,250.000000000000000,43,0.014802952134000,0.006688287115830,302
25,18,18,45221.806915799999842,63616,1.406754933930000,44,45,45,us_embassy,23.797440000000002,90.422719999999998,250.000000000000000,44,0.014802501986100,0.139355241493000,6302
26,18,18,45221.806915799999842,63616,1.406754933930000,47,48,48,jamuna_future_park,23.813110000000002,90.421040000000005,250.000000000000000,47,0.014803431242700,0.015332846187300,693
27,19,19,18157.673560499999439,96291,5.303047203660000,14,15,15,fazle_rabbi_park,23.774170000000002,90.414980000000000,250.000000000000000,14,0.014801123459800,0.174299693002000,3165
